pears apples
oranges pome
sweet_peppers fruit
sweet_peppers mushrooms
fruit mushrooms
aquarium_fish trout
flatfish soft-finned_fish
ray shark
bony_fish cartilaginous_fish
dolphin whale
cetacean seal
aquatic_mammal fish
snake crocodile
snake dinosaur
snake lizard
crocodile dinosaur
crocodile lizard
dinosaur lizard
diapsid turtle
crab lobster
caterpillar butterfly
cockroach bee
cockroach lepidopterous
cockroach beetle
bee lepidopterous
bee beetle
lepidopterous beetle
spider crustacean
crustacean insect
insect spider
anthropod worm
worm snail
snail anthropod
kangaroo possum
mouse hamster
mouse porcupine
mouse beaver
mouse squirrel
hamster porcupine
hamster beaver
hamster squirrel
porcupine beaver
porcupine squirrel
beaver squirrel
rodent elephant
rodent rabbit
rodent ungulate
rodent shrew
rodent chimpanzee
rodent carnivore
elephant rabbit
elephant ungulate
elephant shrew
elephant chimpanzee
elephant carnivore
rabbit ungulate
rabbit shrew
rabbit chimpanzee
rabbit carnivore
ungulate shrew
ungulate chimpanzee
ungulate carnivore
shrew chimpanzee
shrew carnivore
chimpanzee carnivore
otter skunk
tiger lion
lion leopard
leopard tiger
fox wolf
raccoon musteline_mammal
raccoon feline
raccoon bear
raccoon canine
musteline_mammal feline
musteline_mammal bear
musteline_mammal canine
feline bear
feline canine
bear canine
girl boy
woman man
child adult
adult baby
baby child
people animal
palm willow
palm oak
palm maple
palm pine
willow oak
willow maple
willow pine
oak maple
oak pine
maple pine
tree forest
orchids poppies
poppies sunflowers
sunflowers orchids
rose flower
flower tulips
tulips rose
wooden blooming
living vegetation
telephone television
telephone clock
telephone computer_keyboard
telephone lamp
television clock
television computer_keyboard
television lamp
clock computer_keyboard
clock lamp
computer_keyboard lamp
pickup_truck motorcycle
motorcycle tractor
tractor pickup_truck
bus train
train streetcar
streetcar bus
tank bicycle
tank motor_vehicle
tank public_transport
bicycle motor_vehicle
bicycle public_transport
motor_vehicle public_transport
rocket wheeled_vehicle
bottles plates
bottles vessel
bottles cans
bottles cups
plates vessel
plates cans
plates cups
vessel cans
vessel cups
cans cups
chair couch
wardrobe bed
wardrobe table
wardrobe seat
bed table
bed seat
table seat
house skyscraper
bridge building
building castle
castle bridge
device vehicle
device container
device lawn_mower
device road
device furniture
device structure
vehicle container
vehicle lawn_mower
vehicle road
vehicle furniture
vehicle structure
container lawn_mower
container road
container furniture
container structure
lawn_mower road
lawn_mower furniture
lawn_mower structure
road furniture
road structure
furniture structure
sea plain
sea mountain
sea cloud
plain mountain
plain cloud
mountain cloud
food organism
food artifact
food natural_scenes
organism artifact
organism natural_scenes
artifact natural_scenes
